Week,Car Index ,Tesla Google Trends,VIX,Tweet/News Sentiment,0.03343465046,Tesla Price Change,Label
0,-0.08524206143,28,0.07794192562,0.565266207,,-0.05449063701,-1
1,0.02560819462,30,0.07277882798,0.9947405693,-0.01397058824,-0.03949331539,-1
2,-0.03620474407,34,0.2427312775,0.1501239682,0.06935123043,0.02037584138,1
3,-0.048791019,32,0.183977313,0.6896833017,0.01220362622,-0.1336338129,-1
4,0.01694658799,28,-0.09610778443,0.7866432781,0.0141233207,-0.005857019811,-1
5,-0.03689927094,37,-0.04372308711,0.04423975124,-0.06046195652,-0.1109686363,-1
6,-0.08419589062,35,0.01939729823,0.9255903635,-0.01590744758,-0.1373328656,-1
7,0.08080296896,31,-0.1260618417,0.1594440719,-0.03049228508,0.1441934026,1
8,-0.01716872171,29,-0.03615863142,0.331478764,0.07995452823,-0.0738122507,-1
9,-0.07559155153,29,0.1194029851,0.8784776028,0.1322807018,-0.009764625618,-1
10,-0.07713451297,28,0.1218018018,0.8400948268,0.04121475054,-0.06661499376,-1
11,0.08618763961,29,-0.1252810793,0.3086276555,-0.05833333333,0.133557852,1
12,-0.05758354756,28,-0.01946382666,0.6423195064,-0.09766118837,-0.07508851899,-1
13,0.003455173668,26,-0.07715355805,0.8920401786,0.100525394,0.1034057907,1
14,0.02790866256,27,-0.01663961039,0.8220387206,-0.001273074475,-0.04263040357,-1
15,0.06752468265,26,-0.04952538176,0.09101147566,-0.06787762906,0.1340025826,1
16,0.05202312139,29,-0.07381676075,0.8601451019,-0.03897435897,0.09150014693,1
17,0.03547880691,26,-0.008438818565,0.6757948079,0.1298470295,-0.03022042739,-1
18,0.08823529412,26,-0.07659574468,0.5589628568,-0.001259445844,0.04115626193,1
19,0.004597380886,29,0.0547875064,0.9087327783,0.03310214376,-0.01119888011,-1
20,-0.03896824296,27,0.240776699,0.8936316556,0.03783948734,-0.02892102336,-1
21,-0.07012987013,25,-0.003521126761,0.04253855729,0.009703028521,-0.06206393835,-1
22,0.04298572315,25,-0.1052218296,0.7889473371,0.0495049505,0.1090633211,1
23,-0.06516887368,25,0.1540149188,0.6304325444,0.0602108768,0.01224639616,1
24,-0.1102976285,25,0.1376425856,0.7098866212,0.1075634651,-0.09236855118,-1
25,-0.08747763864,26,0.05681818182,0.2724167028,0.01535916824,-0.03661061272,-1
26,0.06841795726,26,-0.008222643896,0.2776698342,0.008610658599,-0.1590197926,-1
27,-0.03412844037,25,0.02104591837,0.8891814262,0.03461005999,-0.08105079123,-1
28,0.0702887538,29,-0.07276702061,0.2450000968,0.006467439786,0.04609980975,1
29,0.1116435925,42,-0.1327046143,0.1700596853,-0.03057832927,0.0656593919,1
30,0.01325243494,38,-0.04660194175,0.02644109305,0.05074285714,-0.09211447576,-1
31,0.04947998739,39,-0.08268839104,0.9342666981,-0.07961714161,-0.05542970068,-1
