headline,date,doc_type,material_type,section,keywords
The Costly Pursuit of Self-Driving Cars Continues On. And On. And On.,2021-05-24,article,News,,"['Driverless and Semiautonomous Vehicles', 'Trucks and Trucking', 'Traffic Accidents and Safety', 'Automobiles']"
Will an Island in Indonesia Become a New Frontier in the Space Race?,2021-11-16,article,News,,"['Land Use Policies', 'Indigenous People', 'Space and Astronomy', 'Private Spaceflight', 'Satellites', 'Politics and Government']"
BMW Has Fallen Behind in the Electric Vehicle Race. Can It Catch Up?,2021-08-10,article,News,,"['Electric and Hybrid Vehicles', 'Factories and Manufacturing', 'Luxury Goods and Services']"
An E.V. Start-Up Backed by UPS Does Away With the Assembly Line,2021-04-21,article,News,,"['Automobiles', 'Electric and Hybrid Vehicles', 'Vans', 'Buses', 'Factories and Manufacturing', 'Robots and Robotics', 'Start-ups']"
California Is Doubling Efforts to Preserve Film and TV Production,2022-01-13,article,briefing,,[]
Your Thursday Evening Briefing,2021-12-31,article,briefing,,[]
The Future of Car Navigation Has Arrived,2021-02-25,article,News,,"['Automobiles', 'Navigation', 'Global Positioning System', 'Maps']"
Here’s the Line-up for Day 1 of the DealBook Online Summit,2020-11-17,article,News,,"['United States Politics and Government', 'Stimulus (Economic)', 'Mergers, Acquisitions and Divestitures', 'Private Equity']"
Tech’s Reckoning Is Upon Us,2022-05-12,article,Op-Ed,,"['Computers and the Internet', 'Social Media', 'internal-sub-only-nl']"
Private Equity’s Favorite Tax Break May Be in Danger,2021-04-23,article,News,,"['Corporate Taxes', 'Capital Gains Tax', 'Income Inequality', 'Private Equity']"
