headline,date,doc_type,material_type,section,keywords
SpaceX Said to Fire Employees Involved in Letter Rebuking Elon Musk,2022-06-17,article,News,,"['Private Spaceflight', 'Labor and Jobs', 'Workplace Hazards and Violations', 'Sexual Harassment']"
"$38.8 Billion in U.S. Treasury? For These Billionaires, That’s Nothing.",2023-05-26,article,News,,"['High Net Worth Individuals', 'United States Economy']"
Twitter expands content-moderation rules to cover crises like war and disasters.,2022-05-19,article,News,,"['Social Media', 'Rumors and Misinformation', 'Disasters and Emergencies', 'War and Armed Conflicts', 'Censorship']"
When Euphemisms (but Never Sharks) Attack,2021-07-23,article,News,,"['Sharks', 'Extraterrestrial Life', 'your-feed-science', 'your-feed-animals']"
Manchin denounces the Democrats’ plan to tax billionaires as divisive.,2021-10-27,article,News,,"['High Net Worth Individuals', 'Capital Gains Tax', 'Income Tax', 'Law and Legislation', 'United States Politics and Government']"
"The New York Times News Quiz, July 30, 2021",2021-07-30,multimedia,Interactive Feature,,[]
Vintage Alfa Romeos to Be Auctioned at Sotheby’s,2020-10-27,article,News,,"['Automobiles', 'Art', 'Auctions', ""Pebble Beach Concours D'Elegance (Car Show)"", 'Design']"
Mitsubishi Is Target of Emissions-Cheating Inquiry in Germany,2020-01-21,article,News,,"['Automobiles', 'Fuel Emissions (Transportation)']"
The Shift to Renewable Energy Is Speeding Up. Here’s How.,2023-01-31,article,News,,"['Alternative and Renewable Energy', 'Global Warming', 'Greenhouse Gas Emissions', 'internal-storyline-no', 'internal-sub-only-nl']"
Businesses Are Bracing for the Political and Social Fight Post-Roe,2022-06-25,article,News,,"['Abortion', 'Law and Legislation', ""Women's Rights"", 'Corporate Social Responsibility', ""Dobbs v Jackson Women's Health Organization (Supreme Court Decision)"", 'Roe v Wade (Supreme Court Decision)']"
