headline,date,doc_type,material_type,section,keywords
We Pay an Ugly Cost for Ads on Twitter,2022-11-04,article,Op-Ed,,"['Social Media', 'Freedom of Speech and Expression', 'Online Advertising', 'Censorship']"
How the Head of a Filmmaking Center Spends His Sundays,2023-05-14,article,News,,"['Documentary Films and Programs', 'Movies']"
I’m a Congressman Who Codes. A.I. Freaks Me Out.,2023-01-23,article,Op-Ed,,"['Artificial Intelligence', 'Regulation and Deregulation of Industry', 'Computers and the Internet', 'Facial Recognition Software', 'United States Politics and Government', 'ChatGPT']"
Keep Your Politics Out of My Arugula,2023-01-19,article,Op-Ed,,"['Vegetarianism', 'Veganism', 'Meat', 'Diet and Nutrition']"
"Steve Martin and Martin Short Trade Barbs, and Eulogies, on ‘S.N.L.’",2022-12-11,article,News,,"['Television', 'Comedy and Humor']"
You Won’t Use That Cool Feature,2022-06-09,article,News,,"['internal-sub-only-nl', 'Software', 'Smartphones', 'Computers and the Internet', 'Advertising and Marketing']"
Your Thursday Briefing: Russia Pushes to Seize Key Eastern City,2022-06-01,article,briefing,,[]
Your Wednesday Briefing: Olympics officials are tight-lipped on China’s abuses,2022-01-04,article,briefing,,[]
Is This Finally the Year of the Electric Car?,2022-03-11,article,News,,"['internal-sub-only', 'Automobiles', 'Electric and Hybrid Vehicles', 'Infrastructure (Public Works)', 'Greenhouse Gas Emissions']"
"Actress and Hairdresser Took $3 Million From Malibu Doctor, Prosecutors Say",2023-02-03,article,News,,"['Frauds and Swindling', 'Money Laundering', 'Identity Theft']"
