headline,date,doc_type,material_type,section,keywords
The Week in Business: A Chatbot Yearns for Existence,2023-02-19,article,News,,"['Stocks and Bonds', 'United States Economy', 'Science and Technology']"
The Elizabeth Holmes Trial Is a Wake-Up Call for Sexism in Tech,2021-09-16,article,Op-Ed,,"['Venture Capital', 'Computers and the Internet', 'Discrimination', 'Entrepreneurship', 'Women and Girls']"
Ford profit drops 50 percent because of a global chip shortage.,2021-07-28,article,News,,"['Company Reports', 'Automobiles', 'Computer Chips', 'Production', 'Factories and Manufacturing', 'Shortages', 'Coronavirus (2019-nCoV)', 'Sports Utility Vehicles and Light Trucks', 'Electric and Hybrid Vehicles']"
The S.E.C. broadens its inquiry into Elon Musk’s disclosures about Twitter.,2022-07-14,article,News,,"['Mergers, Acquisitions and Divestitures', 'Securities and Commodities Violations', 'Social Media']"
Ford Splits Into Electric and Gas Divisions to Speed Up Transition,2022-03-02,article,News,,"['Automobiles', 'Electric and Hybrid Vehicles']"
"Father Deliberately Drove Car Off Cliff, Authorities Say After Dramatic Rescue",2023-01-04,article,News,,"['Traffic Accidents and Safety', 'Deaths (Fatalities)', 'Automobiles']"
Lucid Steps Up Production as Supply Chain Problems Ease,2023-02-22,article,News,,"['Company Reports', 'Stocks and Bonds', 'Electric and Hybrid Vehicles', 'Automobiles', 'Production', 'Supply Chain']"
Biden’s TikTok Problem,2022-06-21,article,News,,"['Automobiles', 'Social Media', 'Bitcoin (Currency)', 'Politics and Government', 'Economic Conditions and Trends', 'United States Economy', 'Electric and Hybrid Vehicles', 'United States Politics and Government']"
"Herbert Diess, Volkswagen’s C.E.O., is stepping down.",2022-07-22,article,News,,"['Automobiles', 'Boards of Directors', 'Appointments and Executive Changes']"
The Best (and Worst) Metro Areas for Electric Cars,2021-09-16,article,News,,"['Real Estate and Housing (Residential)', 'Automobiles']"
